File Name	Chain position of homorepeat
AF-I1Z695-F1-model_v2.pdb	[0]
AF-I1RF55-F1-model_v2.pdb	[0]
AF-I1VZH0-F1-model_v2.pdb	[0]
AF-I7HUG0-F1-model_v2.pdb	[0]
AF-I6X486-F1-model_v2.pdb	[0]
AF-I1WFB9-F1-model_v2.pdb	[0]
AF-I6YC58-F1-model_v2.pdb	[0]
AF-I1S2J9-F1-model_v2.pdb	[0]
AF-I1RL13-F1-model_v2.pdb	[0]
AF-I6RE61-F1-model_v2.pdb	[0]
AF-I6YA50-F1-model_v2.pdb	[0]
AF-I1RFN8-F1-model_v2.pdb	[0]
